timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-01-02,48.04,48.52,47.99,48.49,46.1302492378502,2806554,0.0,1.0
2026-01-03,48.85,48.94,48.6015,48.64,46.2729495345232,2855493,0.0,1.0
2026-01-04,48.58,48.93,48.56,48.86,46.4822433029771,3001476,0.0,1.0
2026-01-05,48.6,48.97,48.51,48.76,46.3871097718617,2945002,0.0,1.0
2026-01-08,48.68,49.24,48.68,49.24,46.8437507212155,3230596,0.0,1.0
2026-01-09,49.1,49.23,48.99,49.2,46.8056973087694,1935648,0.0,1.0
2026-01-10,49.0,49.15,48.84,48.88,46.5012700092002,2607523,0.0,1.0
2026-01-11,48.81,48.875,48.38,48.79,46.4156498311963,2486301,0.0,1.0
2026-01-12,49.37,49.43,49.06,49.14,46.7486171901002,2450023,0.0,1.0
2026-01-16,48.5,48.53,48.06,48.19,45.844848644504,2911657,0.0,1.0
2026-01-17,47.66,47.795,47.505,47.72,45.3977210482617,3368150,0.0,1.0
2026-01-18,47.25,47.315,47.005,47.18,44.8839999802386,2513178,0.0,1.0
2026-01-19,47.07,47.265,46.78,47.17,44.8744866271271,2215426,0.0,1.0
2026-01-22,47.08,47.1851,46.915,46.99,44.7032462711194,2629772,0.0,1.0
2026-01-23,47.29,47.575,47.24,47.47,45.1598872204732,2828295,0.0,1.0
2026-01-24,47.6,47.63,47.11,47.11,44.8174065084578,2504008,0.0,1.0
2026-01-25,47.24,47.64,47.08,47.62,45.3025875171463,5683232,0.0,1.0
2026-01-26,48.49,48.63,48.315,48.37,46.0160890005117,6184942,0.0,1.0
2026-01-29,48.4,48.78,48.33,48.76,46.3871097718617,2897859,0.0,1.0
2026-01-30,49.05,49.115,48.81,49.04,46.6534836589848,4020581,0.0,1.0
2026-01-31,49.3,49.3688,48.56,48.69,46.3205163000809,2205200,0.0,1.0
2026-02-01,48.68,49.51,48.54,49.51,47.1006112552271,2103547,0.0,1.0
2026-02-02,49.12,49.26,48.78,49.09,46.7010504245425,2672248,0.0,1.0
2026-02-05,49.1,49.315,48.9013,49.25,46.8532640743271,2672496,0.0,1.0
2026-02-06,49.53,49.925,49.48,49.87,47.4430919672425,3399228,0.0,1.0
